scenario,no_drone,static_drone,CM1,CM2,CM3,CM4,CM5,CM6,CM7
DU-0-0-1,0.856915,0.864159,0.865013,0.864175,0.865013,0.863901,0.863568,0.864182,0.864171
DU-0-0-2,0.845906,0.864625,0.862095,0.864620,0.864048,0.861791,0.863451,0.862657,0.864620
DU-0-0-4,0.838300,0.868666,0.870636,0.868369,0.872533,0.870847,0.868346,0.869200,0.869993
DU-0-0-8,0.794663,0.849228,0.851373,0.846108,0.850221,0.848145,0.843140,0.847618,0.845882
DU-100-60-2,0.847682,0.858198,0.856252,0.856962,0.858192,0.854036,0.856924,0.858522,0.856564
DU-100-60-4,0.835338,0.858360,0.858227,0.861089,0.858767,0.857649,0.860218,0.856519,0.856244
DU-100-60-8,0.787493,0.823596,0.830540,0.827300,0.827717,0.826043,0.824977,0.823753,0.825029
DU-100-90-2,0.842711,0.857034,0.857595,0.856678,0.854814,0.855389,0.857084,0.856140,0.856974
DU-100-90-4,0.829856,0.855114,0.853998,0.856158,0.855215,0.855216,0.853293,0.855427,0.853874
DU-100-90-8,0.792281,0.827297,0.829441,0.828896,0.828520,0.828491,0.825030,0.828254,0.827528
DU-100-120-2,0.836254,0.856547,0.857560,0.855664,0.857570,0.859626,0.855341,0.856230,0.856438
DU-100-120-4,0.824371,0.852265,0.853579,0.846637,0.855048,0.853010,0.849863,0.853231,0.853422
DU-100-120-8,0.785289,0.820824,0.823651,0.817164,0.823257,0.824627,0.815207,0.822406,0.820441
DU-200-60-2,0.856262,0.866440,0.865248,0.862683,0.866436,0.865017,0.866684,0.865505,0.867021
DU-200-60-4,0.841076,0.855206,0.854666,0.859165,0.859444,0.851693,0.858057,0.854155,0.857761
DU-200-60-8,0.827083,0.833256,0.832832,0.835375,0.834948,0.834909,0.835853,0.834612,0.833700
DU-200-90-2,0.848955,0.863167,0.862817,0.861087,0.862645,0.861255,0.859743,0.859444,0.861163
DU-200-90-4,0.840960,0.851729,0.855004,0.852637,0.854048,0.853378,0.850656,0.848211,0.851113
DU-200-90-8,0.805036,0.815602,0.816690,0.812520,0.813893,0.810807,0.808273,0.810740,0.816704
DU-200-120-2,0.849157,0.860773,0.860469,0.862455,0.860791,0.861660,0.858675,0.863616,0.860492
DU-200-120-4,0.833536,0.844968,0.844777,0.846842,0.847381,0.847352,0.844877,0.847586,0.844507
DU-200-120-8,0.798891,0.811551,0.813762,0.814699,0.812145,0.812367,0.813737,0.813657,0.815791
