scenario,no_drone,static_drone,CM1,CM2,CM3,CM4,CM5,CM6,CM7
DU-0-0-1,0.887056,0.892246,0.889436,0.892553,0.891328,0.890997,0.892251,0.892243,0.891310
DU-0-0-2,0.872354,0.886809,0.887973,0.884977,0.885861,0.886461,0.887414,0.887753,0.886231
DU-0-0-4,0.863099,0.884887,0.888636,0.885356,0.885091,0.888313,0.886249,0.886813,0.886874
DU-0-0-8,0.813529,0.872919,0.870126,0.870664,0.871547,0.867027,0.870577,0.871204,0.872694
DU-100-60-2,0.863384,0.869502,0.869264,0.867341,0.870755,0.870912,0.870770,0.872136,0.869904
DU-100-60-4,0.845691,0.867483,0.865293,0.869015,0.865790,0.868244,0.866813,0.866955,0.871073
DU-100-60-8,0.809969,0.853071,0.854865,0.853102,0.855932,0.859535,0.850699,0.853252,0.851372
DU-100-90-2,0.863881,0.872453,0.872763,0.872694,0.873388,0.873109,0.872804,0.871297,0.870328
DU-100-90-4,0.847113,0.871469,0.869871,0.874172,0.870933,0.870832,0.868829,0.871149,0.872365
DU-100-90-8,0.809109,0.855344,0.854958,0.858450,0.858204,0.856813,0.857940,0.857095,0.857425
DU-100-120-2,0.867834,0.880321,0.880658,0.881255,0.880361,0.881113,0.879732,0.879805,0.880650
DU-100-120-4,0.854912,0.875945,0.875705,0.874579,0.874899,0.875962,0.876602,0.877261,0.877786
DU-100-120-8,0.814014,0.855825,0.863799,0.859528,0.856568,0.858427,0.860453,0.860372,0.859566
DU-200-60-2,0.869644,0.875512,0.874347,0.876386,0.876393,0.875828,0.876760,0.876138,0.874876
DU-200-60-4,0.865001,0.873137,0.870776,0.873755,0.870788,0.871680,0.872034,0.870829,0.869822
DU-200-60-8,0.837605,0.846019,0.845049,0.844465,0.845672,0.841878,0.842015,0.845930,0.840272
DU-200-90-2,0.872798,0.877052,0.873879,0.880030,0.879158,0.876124,0.880081,0.880334,0.876406
DU-200-90-4,0.859223,0.866460,0.869245,0.868398,0.867096,0.865587,0.869856,0.867205,0.867754
DU-200-90-8,0.825025,0.832599,0.839013,0.836412,0.836908,0.833825,0.835487,0.839093,0.833801
DU-200-120-2,0.872958,0.881758,0.882344,0.881490,0.883015,0.883878,0.883613,0.879982,0.881173
DU-200-120-4,0.858122,0.872692,0.867756,0.872974,0.872969,0.871526,0.871805,0.872747,0.873333
DU-200-120-8,0.824800,0.844392,0.842190,0.842867,0.843850,0.841565,0.847787,0.843264,0.843343
DU-0-0-1,0.911744,0.886952,0.868213,0.880015,0.878549,0.878237,0.877970,0.870813,0.877904
DU-0-0-2,0.901339,0.874366,0.873880,0.865255,0.872892,0.877668,0.860785,0.860572,0.877763
DU-0-0-4,0.885317,0.859187,0.868517,0.863010,0.872113,0.868669,0.863741,0.860372,0.874331
DU-0-0-8,0.849801,0.879013,0.842145,0.861818,0.856992,0.853031,0.848359,0.861809,0.832499
DU-100-60-2,0.920666,0.863980,0.875175,0.868439,0.868553,0.873409,0.864647,0.876128,0.869944
DU-100-60-4,0.898612,0.864995,0.878700,0.889271,0.874128,0.879427,0.858139,0.874040,0.861616
DU-100-60-8,0.861453,0.852477,0.859307,0.840786,0.834219,0.858736,0.854956,0.861372,0.836383
DU-100-90-2,0.900706,0.855771,0.867552,0.861381,0.866940,0.890649,0.878882,0.861945,0.872412
DU-100-90-4,0.876785,0.873685,0.873690,0.878510,0.868522,0.856061,0.873895,0.894125,0.871438
DU-100-90-8,0.851239,0.839722,0.863618,0.832896,0.847162,0.850088,0.842480,0.844683,0.856964
DU-100-120-2,0.911553,0.882101,0.879508,0.872479,0.845032,0.872680,0.856591,0.867412,0.868528
DU-100-120-4,0.896359,0.861235,0.860024,0.865325,0.838144,0.845136,0.851566,0.858209,0.842999
DU-100-120-8,0.863949,0.855052,0.857456,0.834655,0.852094,0.858215,0.840990,0.862864,0.831695
DU-0-0-1,0.829708,0.837040,0.845019,0.839685,0.829090,0.838340,0.847319,0.847025,0.844161
DU-0-0-2,0.825922,0.829850,0.837089,0.829686,0.830777,0.838442,0.835219,0.835633,0.843660
DU-0-0-4,0.806159,0.838637,0.835298,0.829325,0.823587,0.846641,0.829680,0.825510,0.816369
DU-0-0-8,0.782343,0.825242,0.830694,0.793891,0.822748,0.839165,0.806071,0.803530,0.805423
