scenario,csr_legacy,csr_energy,steps_legacy,steps_energy,steps_saved,csr_delta
DU-0-0-1,0.8319953935744933,0.8304110507987519,498.0,32.6,465.4,-0.0015843427757413764
DU-0-0-2,0.8323381159011071,0.8370039477257629,498.0,43.4,454.6,0.004665831824655853
DU-0-0-4,0.8289178803456965,0.8403084259918892,498.0,41.8,456.2,0.011390545646192685
DU-0-0-8,0.8382673692278807,0.8227254032328354,498.0,9.4,488.6,-0.015541965995045315
DU-100-60-2,0.8320215673052331,0.8358321551283666,498.0,40.6,457.4,0.003810587823133482
DU-100-60-4,0.8361139514168586,0.8218075799190843,498.0,34.4,463.6,-0.014306371497774362
DU-100-60-8,0.832085600337275,0.809375819302803,498.0,31.8,466.2,-0.022709781034471965
DU-100-90-2,0.8353102039718653,0.8391581840949003,498.0,96.6,401.4,0.0038479801230349997
DU-100-90-4,0.8313984115320225,0.8364589600235803,498.0,71.4,426.6,0.0050605484915577925
DU-100-90-8,0.8283209317527097,0.8276661667572973,498.0,42.4,455.6,-0.0006547649954123935
DU-100-120-2,0.8385189543783123,0.846153651037971,498.0,61.4,436.6,0.007634696659658768
DU-100-120-4,0.835699139510214,0.8253700696515509,498.0,35.6,462.4,-0.010329069858663109
DU-100-120-8,0.8277869662647188,0.8081059484917661,498.0,51.4,446.6,-0.019681017772952725
DU-200-60-2,0.8354601307514864,0.8410734258736368,498.0,66.8,431.2,0.0056132951221503635
DU-200-60-4,0.814017747581271,0.822318014476695,498.0,62.0,436.0,0.008300266895423958
DU-200-60-8,0.7990266018856136,0.8097011936525578,498.0,78.0,420.0,0.010674591766944186
DU-200-90-2,0.8509027236673734,0.8307658076037534,498.0,65.6,432.4,-0.020136916063620003
DU-200-90-4,0.8323448601304566,0.8376258329007271,498.0,78.2,419.8,0.005280972770270509
DU-200-90-8,0.8018358486185283,0.7961694708218496,498.0,78.0,420.0,-0.005666377796678668
DU-200-120-2,0.8317843925474125,0.8383283263840857,498.0,53.0,445.0,0.006543933836673177
DU-200-120-4,0.8319501067391011,0.8271658359322214,498.0,67.6,430.4,-0.004784270806879709
DU-200-120-8,0.7958268264008594,0.8091351941584373,498.0,59.6,438.4,0.013308367757577821
RU-0-0-1,0.8732365441821424,0.8735997608268071,497.2,81.4,415.79999999999995,0.00036321664466476555
RU-0-0-10,0.8871189599348888,0.8888871426403456,497.2,92.8,404.4,0.0017681827054568666
RU-0-0-25,0.8717380561115367,0.8691225490638071,497.2,77.6,419.6,-0.002615507047729504
RU-0-0-50,0.8790596312819451,0.8805972514413863,497.2,99.6,397.6,0.0015376201594412553
RU-500-60-10,0.8871189599348888,0.8888871426403456,497.2,93.6,403.6,0.0017681827054568666
RU-500-60-25,0.8630779253925823,0.8594934863923216,497.2,86.6,410.6,-0.0035844390002607307
RU-500-60-50,0.8654815940858456,0.8733727462717876,497.2,97.0,400.2,0.007891152185942052
RU-500-90-10,0.8915301071506155,0.8949790373228443,497.2,91.0,406.2,0.0034489301722288035
RU-500-90-25,0.8713493816772836,0.8655025566871062,497.2,87.8,409.4,-0.005846824990177413
RU-500-90-50,0.8585201106530045,0.8688442423702085,497.2,94.4,402.79999999999995,0.010324131717204033
RU-500-120-10,0.8871189599348888,0.8888871426403456,497.2,93.6,403.6,0.0017681827054568666
RU-500-120-25,0.8652068755347774,0.8690894459882813,497.2,85.8,411.4,0.0038825704535039307
RU-500-120-50,0.8595316466927063,0.8644127830039426,497.2,97.6,399.6,0.004881136311236323
RU-1000-60-10,0.887306879397976,0.8864137788656121,497.2,95.0,402.2,-0.0008931005323639107
RU-1000-60-25,0.8662556117031659,0.8594557852959012,497.2,89.2,408.0,-0.006799826407264731
RU-1000-60-50,0.8579377735177935,0.8720328318988037,497.2,86.8,410.4,0.014095058381010106
RU-1000-90-10,0.887306879397976,0.8864137788656121,497.2,95.8,401.4,-0.0008931005323639107
RU-1000-90-25,0.8718079245286461,0.8621387807594703,497.2,80.6,416.6,-0.009669143769175825
RU-1000-90-50,0.8607887824410904,0.8751749986980016,497.2,94.2,403.0,0.014386216256911277
RU-1000-120-10,0.887306879397976,0.8864137788656121,497.2,95.0,402.2,-0.0008931005323639107
RU-1000-120-25,0.8772189170449017,0.8643359546547573,497.2,78.2,419.0,-0.012882962390144415
RU-1000-120-50,0.8575077542183628,0.8712823531726492,497.2,93.8,403.4,0.013774598954286454
