scenario,no_drone,static_drone,CM1,CM2,CM3,CM4,CM5,CM6,CM7
RU-0-0-1,0.906793,0.921079,0.921032,0.921806,0.921079,0.921079,0.921923,0.921079,0.921079
RU-0-0-10,0.902488,0.921306,0.920259,0.921869,0.920466,0.921306,0.922987,0.921306,0.921306
RU-0-0-25,0.898635,0.921366,0.920319,0.921929,0.920525,0.921366,0.923046,0.921366,0.921366
RU-0-0-50,0.899339,0.922845,0.921808,0.922845,0.922008,0.922845,0.925555,0.922845,0.922845
RU-500-60-10,0.906169,0.921306,0.920259,0.921029,0.920466,0.921306,0.922987,0.921306,0.921306
RU-500-60-25,0.903300,0.920525,0.919478,0.919273,0.919685,0.920525,0.923046,0.920525,0.920525
RU-500-60-50,0.903093,0.920972,0.919935,0.920001,0.923482,0.920972,0.923682,0.920972,0.920972
RU-500-90-10,0.903009,0.921306,0.920259,0.921029,0.920466,0.921306,0.922146,0.921306,0.921306
RU-500-90-25,0.900982,0.920525,0.919478,0.919273,0.919685,0.919550,0.922206,0.919550,0.919550
RU-500-90-50,0.901605,0.920972,0.922008,0.920001,0.923482,0.920001,0.923682,0.922511,0.920972
RU-500-120-10,0.905009,0.921306,0.920259,0.921029,0.920466,0.921306,0.922146,0.921306,0.921306
RU-500-120-25,0.902131,0.919550,0.919343,0.919273,0.918710,0.920390,0.922071,0.919550,0.919550
RU-500-120-50,0.904378,0.920001,0.918964,0.920838,0.922511,0.920001,0.922711,0.920001,0.920001
RU-1000-60-10,0.905329,0.920466,0.919419,0.920189,0.922987,0.919466,0.922146,0.922987,0.920466
RU-1000-60-25,0.903558,0.917869,0.917662,0.917592,0.922071,0.918710,0.921231,0.922071,0.922071
RU-1000-60-50,0.906502,0.920638,0.920638,0.920376,0.919539,0.920638,0.921674,0.919539,0.919539
RU-1000-90-10,0.905009,0.921987,0.918578,0.920189,0.922146,0.920987,0.921146,0.921987,0.921987
RU-1000-90-25,0.901291,0.921076,0.916822,0.917592,0.921231,0.922071,0.920236,0.921076,0.921076
RU-1000-90-50,0.905992,0.915658,0.920576,0.920576,0.916653,0.921674,0.917969,0.915658,0.915555
RU-1000-120-10,0.905009,0.920987,0.918419,0.919189,0.920987,0.918466,0.920146,0.921987,0.920987
RU-1000-120-25,0.903146,0.923066,0.918657,0.918587,0.923066,0.918864,0.922226,0.923066,0.923066
RU-1000-120-50,0.905716,0.922669,0.920534,0.922470,0.921633,0.922669,0.921833,0.922669,0.921633
